download_count,project
58728299,"tinycss2"
58510653,"poetry-plugin-export"
58435774,"jupyter-client"
57888312,"safetensors"
57669875,"databricks-sql-connector"
57544998,"portalocker"
57262212,"comm"
57033547,"loguru"
56791512,"mistune"
56473318,"xlsxwriter"
56450636,"sphinx"
56400688,"types-awscrt"
56375031,"text-unidecode"
56229904,"py"
56137682,"botocore-stubs"
56027189,"narwhals"
55403893,"pysocks"
55372672,"simplejson"
54985021,"bleach"
54811372,"structlog"
54534646,"backports-tarfile"
54393403,"scramp"
54277882,"lark"
54217331,"nvidia-nccl-cu12"
54148435,"jsonschema-path"
53853915,"types-s3transfer"
53802808,"python-slugify"
53778188,"datasets"
53632471,"google-cloud-monitoring"
53552711,"numba"
53099385,"boto3-stubs"
52979482,"graphql-core"
52864821,"anthropic"
52645584,"librt"
52579149,"rich-toolkit"
52490805,"google-cloud-vision"
52204185,"typeguard"
52045165,"opensearch-protobufs"
52024166,"google-cloud-speech"
51986040,"google-cloud-kms"
51435060,"faker"
51433791,"google-cloud-resource-manager"
51417819,"nbformat"
51047489,"toolz"
50870160,"google-cloud-compute"
50616819,"ray"
50513280,"google-cloud-tasks"
50485895,"pytokens"
50309381,"google-cloud-dlp"
50170179,"google-cloud-bigtable"
49875988,"pbs-installer"
49812828,"pyflakes"
49743421,"google-cloud-logging"
49432755,"brotli"
49293646,"nbconvert"
49194858,"zope-interface"
49001129,"google-cloud-videointelligence"
48885162,"google-cloud-language"
48775728,"argon2-cffi"
48707685,"argon2-cffi-bindings"
48510263,"xlrd"
48363867,"redshift-connector"
48342426,"google-cloud-workflows"
48179542,"nltk"
47857427,"pylint"
47696216,"types-pyyaml"
47477906,"deprecation"
47383842,"google-cloud-os-login"
47335264,"elasticsearch"
47209691,"google-cloud-dataform"
47205587,"types-protobuf"
46916258,"sqlalchemy-bigquery"
46831373,"pyspark"
46829641,"selenium"
46681402,"colorlog"
46675822,"inflection"
46520325,"responses"
46344216,"pathable"
46164888,"google-cloud-redis"
46161519,"llvmlite"
45990596,"ipython-pygments-lexers"
45788904,"langchain-openai"
45602337,"nbclient"
45562582,"tree-sitter-languages"
45535763,"pycryptodomex"
45316318,"confluent-kafka"
45270644,"asyncpg"
45070816,"pyperclip"
45037355,"plotly"
45001781,"json5"
44621946,"flake8"
44362010,"pywin32"
44125877,"google-cloud-memcache"
44080689,"flatbuffers"
44006621,"findpython"
43947099,"astroid"
43820899,"humanfriendly"
43765519,"nvidia-cublas-cu12"
43722526,"async-lru"
43678568,"jupyterlab"
43422972,"google-ads"
43224646,"trio"
43182099,"triton"
42908958,"jupyter-server"
42848465,"types-python-dateutil"
42717857,"humanize"
42666836,"beartype"
42549692,"mypy-boto3-s3"
42449103,"mysql-connector-python"
42367846,"nvidia-cusparse-cu12"
42195809,"pandocfilters"
41941216,"jupyterlab-pygments"
41848796,"altair"
41831132,"nvidia-nvjitlink-cu12"
41469510,"google-cloud-pubsub"
41279455,"overrides"
41232592,"aenum"
41153353,"opentelemetry-instrumentation-fastapi"
41098264,"google-cloud-appengine-logging"
40828097,"nvidia-cudnn-cu12"
40804269,"nvidia-cuda-nvrtc-cu12"
40791327,"kombu"
40694522,"outcome"
40619963,"nvidia-cufft-cu12"
40569738,"nvidia-cusolver-cu12"
40448846,"psycopg2"
40372288,"nvidia-curand-cu12"
40319871,"azure-keyvault-secrets"
40211652,"pg8000"
40149024,"jsonref"
39882185,"nvidia-cuda-cupti-cu12"
39853192,"opencv-python"
39823478,"nvidia-cuda-runtime-cu12"
39738501,"pyee"
39687955,"webcolors"
39570614,"click-plugins"
39413523,"psycopg"
39408481,"ecdsa"
39352351,"orderly-set"
39325790,"flask-cors"
39160152,"polars"
39007454,"celery"
38929388,"absl-py"
38815993,"jupyterlab-server"
38766627,"send2trash"
38545423,"cyclopts"
38538188,"opentelemetry-instrumentation-asgi"
38358166,"semgrep"
38028641,"uuid-utils"
37997709,"fqdn"
37879679,"aws-sam-translator"
37822242,"nvidia-nvtx-cu12"
37821316,"isoduration"
37712029,"uri-template"
37662666,"pymssql"
37376078,"pyrsistent"
37330702,"apache-beam"
37182213,"pytest-timeout"
37077699,"mmh3"
37071150,"sqlglot"
36857784,"seaborn"
36834435,"prettytable"
36778325,"fastmcp"
36734982,"diskcache"
36659670,"db-dtypes"
36544215,"rfc3986-validator"
36393091,"antlr4-python3-runtime"
36269491,"widgetsnbextension"
36197324,"langchain-community"
36072889,"pymupdf"
35934875,"jupyterlab-widgets"
35658112,"freezegun"
35504690,"ipywidgets"
35461155,"xgboost"
35458331,"langgraph"
35435945,"langchain-text-splitters"
35385958,"cfn-lint"
35236128,"click-didyoumean"
35159679,"billiard"
35049151,"gevent"
34856629,"appdirs"
34814605,"ijson"
34809335,"terminado"
34789340,"django"
34644435,"azure-storage-file-datalake"
34550983,"playwright"
34529561,"adal"
34525767,"jupyter-server-terminals"
34468067,"amqp"
34395879,"vine"
33903172,"thrift"
33875345,"lazy-object-proxy"
33777435,"oauth2client"
33697134,"nvidia-cusparselt-cu12"
33617590,"mdit-py-plugins"
33570595,"azure-mgmt-core"
33568709,"jupyter-events"
33566366,"trio-websocket"
33510451,"google-cloud-audit-log"
33426514,"psycopg-binary"
33408628,"zeep"
33190871,"click-repl"
33138565,"aiosqlite"
33024802,"fastavro"
33010646,"notebook-shim"
33001133,"onnxruntime"
32748134,"pypdf"
32674491,"setproctitle"
32438696,"retry"
32323796,"pyodbc"
32313125,"rich-rst"
32209573,"coloredlogs"
32118319,"ordered-set"
31839240,"fakeredis"
31686249,"delta-spark"
31673841,"mlflow"
31574785,"gspread"
31566110,"apache-airflow-providers-common-sql"
31555874,"google-cloud-run"
31546611,"mashumaro"
31360177,"google-cloud-texttospeech"
31349888,"google-cloud-bigquery-datatransfer"
31337118,"semantic-version"
31019525,"jupyter-lsp"
30692010,"google-cloud-orchestration-airflow"
30565279,"python-jose"
30509773,"google-cloud-dataproc-metastore"
30503760,"imageio"
30417899,"dateparser"
30403871,"tldextract"
30338211,"purecloudplatformclientv2"
30281407,"azure-storage-queue"
30269747,"langgraph-prebuilt"
30235659,"ddtrace"
30231468,"rich-click"
30124730,"types-urllib3"
30109082,"h5py"
30053970,"inspect-ai"
30016498,"snowflake-snowpark-python"
30002492,"python-docx"
29992624,"nvidia-cufile-cu12"
29850891,"google-cloud-bigquery-storage"
29798693,"google-cloud-automl"
29782328,"mlflow-skinny"
29755365,"rfc3986"
29754279,"py-key-value-aio"
29698256,"universal-pathlib"
29689052,"llama-parse"
29670426,"ormsgpack"
29641377,"omegaconf"
29522198,"sshtunnel"
29438697,"dbt-protos"
29410515,"moto"
29341398,"google-cloud-dataflow-client"
29232972,"oss2"
29137766,"pandas-gbq"
29017799,"nh3"
29013882,"junitparser"
28962599,"streamlit"
28937083,"aioboto3"
28719374,"types-pytz"
28682995,"opencv-python-headless"
28617666,"gcloud-aio-storage"
28500938,"tf-keras-nightly"
28463034,"dask"
28230335,"rfc3987-syntax"
28184583,"sendgrid"
28014076,"langgraph-sdk"
27996724,"retrying"
27965186,"sentencepiece"
27805563,"checkov"
27767147,"graphql-relay"
27710483,"mergedeep"
27693698,"langgraph-checkpoint"
27635885,"graphviz"
27630923,"pycountry"
27532105,"llama-cloud-services"
27496956,"google-pasta"
27496623,"linkify-it-py"
27342435,"libcst"
27197096,"ujson"
27099962,"fastapi-cli"
27098596,"graphene"
27020064,"snowballstemmer"
26960077,"statsmodels"
26940933,"tomli-w"
26833349,"uc-micro-py"
26800182,"bytecode"
26787215,"html5lib"
26779438,"msgspec"
26760310,"pdfminer-six"
26716779,"torchvision"
26713053,"polars-runtime-32"
26663876,"tensorboard"
26603890,"mock"
26511678,"duckdb"
26300911,"entrypoints"
26249112,"envier"
26233576,"tox"
26224239,"opentelemetry-instrumentation-threading"
26021001,"elastic-transport"
26005183,"zope-event"
25958565,"pytest-runner"
25956273,"tableauserverclient"
25829158,"agate"
25700707,"nvidia-nvshmem-cu12"
25663680,"pytest-rerunfailures"
25429663,"unidecode"
25429434,"patsy"
25371142,"ml-dtypes"
25341499,"pbr"
25220316,"simple-salesforce"
24995044,"pytimeparse"
24863965,"openapi-spec-validator"
24744903,"google-cloud-dataproc"
24651302,"great-expectations"
24639984,"pydantic-extra-types"
24586177,"tooth-python"
24434059,"opentelemetry-instrumentation-urllib3"
24408102,"pytest-metadata"
24373063,"openapi-pydantic"
24357509,"types-certifi"
24339018,"fastuuid"
24254420,"types-setuptools"
24208899,"python-telegram-bot"
24137822,"tblib"
24115122,"pydata-google-auth"
24075566,"readme-renderer"
24025032,"cramjam"
23993633,"griffe"
23987426,"google-cloud-firestore"
23974215,"parsedatetime"
23955506,"passlib"
23915132,"backports-zstd"
23899327,"opentelemetry-instrumentation-wsgi"
23770045,"inflect"
23748901,"cuda-bindings"
23654342,"validators"
23534283,"pydocket"
23473464,"lockfile"
23332072,"pyright"
23300378,"schema"
23263320,"mypy-boto3-sts"
23180306,"ninja"
23152240,"frozendict"
23070271,"google-cloud-spanner"
23046238,"azure-cosmos"
23010895,"apache-airflow-providers-fab"
22964351,"pathvalidate"
22935288,"opentelemetry-instrumentation-dbapi"
22914858,"yamllint"
22842493,"pytest-json-ctrf"
22826685,"hvac"
22824685,"phonenumbers"
22741270,"cuda-pathfinder"
22734631,"imagesize"
22732387,"opentelemetry-instrumentation-urllib"
22647659,"msrestazure"
22634342,"sphinxcontrib-serializinghtml"
22607719,"langchain-google-vertexai"
22586658,"pipenv"
22574291,"peewee"
22539628,"opentelemetry-instrumentation-django"
22405531,"alabaster"
22396833,"apscheduler"
22368137,"holidays"
22315543,"lupa"
22220002,"weaviate-client"
22107746,"twine"
22079030,"pypdf2"
22074606,"pytzdata"
22009799,"reportlab"
21960806,"azure-datalake-store"
21957658,"progressbar2"
21954194,"opentelemetry-instrumentation-flask"
21936204,"databricks-sqlalchemy"
21922730,"mysqlclient"
21889779,"pyiceberg"
21870158,"dbt-semantic-interfaces"
21869009,"bracex"
21821618,"sqlalchemy-utils"
21800049,"bs4"
21754060,"asyncio"
21729222,"python-http-client"
21713906,"pybind11"
21710593,"opentelemetry-instrumentation-psycopg2"
21703117,"scikit-image"
21697303,"posthog"
21642898,"azure-monitor-opentelemetry-exporter"
21528644,"python-magic"
21369761,"leather"
21367140,"dacite"
21356444,"opentelemetry-instrumentation-httpx"
21294940,"openapi-schema-validator"
21284662,"uv-build"
21260433,"flask-sqlalchemy"
21221487,"limits"
21218489,"aws-requests-auth"
20996772,"cssselect"
20982553,"hypothesis"
20956557,"filetype"
